batsman,total_runs,balls_faced,fours,sixes,strike_rate
V Kohli,9195,6789,832,312,135.43968183826777
RG Sharma,7283,5446,654,323,133.73117884686008
S Dhawan,6725,5266,763,152,127.7060387390809
DA Warner,6478,4611,654,234,140.49013229234438
KL Rahul,5657,4039,494,233,140.05942064867543
SK Raina,5512,4008,506,202,137.5249500998004
MS Dhoni,5439,3935,375,264,138.22109275730622
AM Rahane,5203,4135,527,137,125.82829504232164
SV Samson,5097,3601,423,237,141.54401555123576
AB de Villiers,5001,3288,395,245,152.0985401459854
RV Uthappa,4941,3775,479,182,130.88741721854305
CH Gayle,4875,3244,401,348,150.2774352651048
F du Plessis,4770,3498,440,174,136.36363636363637
KD Karthik,4734,3491,456,156,135.60584359782297
JC Buttler,4637,3085,457,211,150.30794165316044
Shubman Gill,4558,3181,441,152,143.28827412763283
SA Yadav,4527,3030,476,176,149.40594059405942
AT Rayudu,4348,3391,359,173,128.2217634915954
G Gambhir,4172,3350,488,59,124.53731343283582
SS Iyer,4102,2985,347,175,137.42043551088778
MK Pandey,3916,3219,339,114,121.65268716992856
SR Watson,3796,2738,366,188,138.64134404674945
RR Pant,3744,2515,337,179,148.86679920477138
RA Jadeja,3476,2638,262,121,131.76648976497347
Ishan Kishan,3446,2399,339,155,143.64318466027512
KA Pollard,3293,2246,212,213,146.61620658949244
Q de Kock,3236,2389,315,135,135.45416492256174
DA Miller,3234,2318,234,147,139.51682484900778
YK Pathan,3162,2208,256,157,143.20652173913044
N Rana,2978,2162,278,147,137.74283071230343
HH Pandya,2910,1978,227,153,147.11830131445905
WP Saha,2890,2273,287,87,127.1447426308843
BB McCullum,2871,2159,292,130,132.9782306623437
RD Gaikwad,2839,2083,260,107,136.29380700912145
GJ Maxwell,2810,1789,237,161,157.07098937954163
PA Patel,2711,2239,351,46,121.08083966056275
V Sehwag,2702,1714,330,106,157.64294049008168
Yuvraj Singh,2696,2078,213,146,129.74013474494706
MA Agarwal,2649,1973,265,96,134.26254434870756
M Vijay,2598,2126,247,89,122.20131702728128
AD Russell,2580,1468,181,217,175.7493188010899
YBK Jaiswal,2542,1655,308,106,153.59516616314198
B Sai Sudharsan,2515,1674,258,83,150.2389486260454
N Pooran,2474,1477,167,183,167.50169262017604
SPD Smith,2432,1890,220,59,128.67724867724868
JH Kallis,2414,2197,254,44,109.87710514337734
SE Marsh,2412,1822,261,75,132.3819978046103
DR Smith,2385,1755,245,117,135.89743589743588
Abhishek Sharma,2372,1374,224,144,172.63464337700145
SR Tendulkar,2334,1941,296,29,120.24729520865533
RA Tripathi,2268,1639,227,84,138.3770591824283
D Padikkal,2216,1660,236,78,133.49397590361446
MP Stoinis,2181,1484,173,114,146.96765498652292
R Dravid,2174,1878,269,28,115.76144834930777
S Dube,2102,1450,131,134,144.9655172413793
H Klaasen,2098,1247,146,120,168.24378508420207
AC Gilchrist,2069,1483,239,92,139.51449763991909
AJ Finch,2039,1585,207,77,128.6435331230284
AR Patel,2031,1520,140,98,133.6184210526316
KS Williamson,2030,1612,174,63,125.93052109181141
MEK Hussey,1977,1610,198,52,122.79503105590062
JP Duminy,1962,1588,122,76,123.55163727959697
KH Pandya,1910,1422,167,73,134.31786216596342
R Parag,1867,1284,134,108,145.404984423676
Tilak Varma,1858,1278,143,91,145.38341158059467
MR Marsh,1853,1242,155,111,149.194847020934
SP Narine,1811,1089,190,120,166.29935720844813
DPMD Jayawardene,1771,1424,198,39,124.36797752808988
PP Shaw,1735,1176,218,57,147.53401360544217
P Simran Singh,1732,1109,183,88,156.17673579801624
MK Tiwary,1695,1444,156,40,117.38227146814404
Mandeep Singh,1679,1365,172,38,123.00366300366301
VR Iyer,1677,1180,157,78,142.11864406779662
KK Nair,1676,1267,186,48,132.28097868981848
KC Sangakkara,1656,1352,192,27,122.48520710059172
AK Markram,1640,1200,129,67,136.66666666666666
RM Patidar,1612,978,106,110,164.82617586912065
JM Bairstow,1600,1096,163,70,145.98540145985402
DJ Bravo,1560,1196,120,66,130.43478260869566
TM Head,1556,907,172,78,171.55457552370453
NV Ojha,1546,1289,120,79,119.93793638479441
SO Hetmyer,1537,1016,96,96,151.2795275590551
SS Tiwary,1481,1226,111,49,120.79934747145188
DJ Hooda,1454,1141,96,59,127.43207712532866
S Badrinath,1439,1206,154,28,119.32006633499171
BJ Hodge,1395,1105,122,43,126.24434389140272
EJG Morgan,1371,1122,109,63,122.19251336898395
DJ Hussey,1322,1070,90,60,123.55140186915888
RK Singh,1311,896,107,62,146.31696428571428
CA Lynn,1309,923,129,66,141.8201516793066
SC Ganguly,1303,1228,133,40,106.10749185667753
R Tewatia,1302,938,110,62,138.80597014925374
PD Salt,1258,715,138,67,175.94405594405595
V Shankar,1206,913,88,48,132.09200438116102
KM Jadhav,1170,943,99,39,124.07211028632025
Dhruv Jurel,1169,758,98,60,154.221635883905
MM Ali,1167,831,95,67,140.4332129963899
TH David,1151,642,76,83,179.28348909657322
TM Dilshan,1148,992,140,24,115.7258064516129
JM Sharma,1107,723,86,68,153.11203319502076
A Badoni,1095,782,94,41,140.02557544757033
DP Conway,1080,770,117,34,140.25974025974025
LMP Simmons,1079,848,109,44,127.24056603773585
IK Pathan,1079,900,80,35,119.88888888888889
ML Hayden,1074,775,117,42,138.58064516129033
M Vohra,1073,817,103,43,131.33414932680537
LS Livingstone,1055,673,69,75,156.76077265973254
V Suryavanshi,1028,447,81,96,229.97762863534675
LRPL Taylor,1017,818,66,46,124.32762836185819
KP Pietersen,1001,742,91,40,134.9056603773585
SM Curran,997,725,85,41,137.51724137931035
C Green,991,654,83,46,151.5290519877676
Y Venugopal Rao,985,831,77,37,118.53188929001203
A Symonds,974,745,74,41,130.73825503355704
JA Morkel,962,670,60,55,143.5820895522388
MC Henriques,956,745,82,28,128.3221476510067
CL White,949,743,75,36,127.72543741588156
BA Stokes,935,695,81,32,134.53237410071944
