bowler,wickets,runs_conceded,legal_balls,economy_rate
YS Chahal,229,5343,3993,8.02854996243426
B Kumar,225,5884,4576,7.715034965034965
SP Narine,206,5175,4579,6.780956540729417
PP Chawla,190,5018,3784,7.956659619450317
R Ashwin,185,5591,4656,7.204896907216495
DJ Bravo,183,4360,3120,8.384615384615385
JJ Bumrah,180,4312,3535,7.318811881188119
RA Jadeja,179,5436,4224,7.721590909090909
Rashid Khan,177,4202,3458,7.29091960670908
A Mishra,171,4063,3299,7.38951197332525
SL Malinga,168,3295,2779,7.114069809283915
Sandeep Sharma,150,4209,3087,8.180758017492712
Harbhajan Singh,149,4007,3392,7.087853773584905
HV Patel,146,3621,2434,8.926047658175841
K Rabada,145,3264,2224,8.805755395683454
TA Boult,143,3853,2732,8.461932650073207
UT Yadav,142,4285,3020,8.513245033112582
Mohammed Shami,140,4129,2840,8.723239436619718
MM Sharma,133,3430,2355,8.738853503184714
AR Patel,133,4313,3477,7.442622950819672
Mohammed Siraj,128,3911,2672,8.782185628742514
AD Russell,121,2779,1758,9.484641638225256
SN Thakur,119,3514,2202,9.574931880108991
Arshdeep Singh,109,3060,2002,9.17082917082917
Kuldeep Yadav,109,3038,2208,8.255434782608695
JD Unadkat,108,3434,2273,9.06467223933128
CV Varun,107,2641,2062,7.684772065955383
A Nehra,105,2464,1884,7.8471337579617835
Z Khan,102,2782,2199,7.590723055934515
KH Pandya,102,3339,2623,7.637819290888296
R Vinay Kumar,101,2888,2049,8.456808199121523
DL Chahar,96,2821,2044,8.280821917808218
DW Steyn,96,2471,2152,6.889405204460966
CH Morris,93,2226,1672,7.988038277511961
SR Watson,92,2616,1987,7.899345747357826
I Sharma,91,3314,2371,8.386334879797554
Avesh Khan,90,2700,1743,9.294320137693632
M Prasidh Krishna,90,2565,1709,9.005266237565827
RP Singh,90,2290,1751,7.846944603083952
P Kumar,90,3251,2524,7.728209191759112
PP Ojha,89,2337,1899,7.38388625592417
KK Ahmed,88,2390,1609,8.912367930391548
DS Kulkarni,85,2438,1763,8.297220646625071
PJ Cummins,83,2633,1761,8.971039182282794
KV Sharma,83,2215,1585,8.384858044164037
JA Morkel,83,2336,1699,8.249558563861095
Imran Tahir,82,1703,1316,7.764437689969605
JC Archer,82,2129,1554,8.22007722007722
Ravi Bishnoi,81,2460,1753,8.419851682829435
HH Pandya,80,2731,1752,9.352739726027398
IK Pathan,79,2562,1989,7.728506787330317
L Balaji,75,1999,1488,8.060483870967742
M Morkel,75,2017,1581,7.654648956356736
MA Starc,75,1656,1131,8.785145888594165
MM Patel,73,1662,1337,7.458489154824234
RD Chahar,72,2111,1622,7.808877928483354
JR Hazlewood,72,1690,1176,8.622448979591837
MJ McClenaghan,71,1753,1250,8.4144
T Natarajan,70,2334,1522,9.201051248357425
R Bhatia,70,1991,1612,7.410669975186104
JO Holder,70,1751,1225,8.576326530612246
AB Dinda,69,2034,1498,8.146862483311082
KA Pollard,69,2141,1470,8.738775510204082
SK Trivedi,65,1904,1506,7.585657370517929
JH Kallis,65,2289,1736,7.911290322580645
Mustafizur Rahman,65,1849,1364,8.133431085043988
Shakib Al Hasan,62,1816,1460,7.463013698630137
A Nortje,61,1663,1096,9.104014598540147
Noor Ahmad,61,1495,1098,8.169398907103826
MG Johnson,60,1669,1208,8.289735099337749
M Muralitharan,59,1662,1476,6.7560975609756095
SM Curran,59,2033,1253,9.735035913806863
S Kaul,56,1708,1185,8.648101265822785
TU Deshpande,55,1819,1079,10.114921223354958
SK Warne,55,1422,1170,7.292307692307692
JP Faulkner,53,1657,1143,8.698162729658792
S Gopal,49,1337,985,8.144162436548223
LH Ferguson,48,1618,1041,9.32564841498559
NM Coulter-Nile,48,1067,833,7.685474189675871
SB Jakati,47,1451,1085,8.023963133640553
S Nadeem,47,1758,1391,7.5830337886412655
RJ Harris,45,1047,832,7.550480769230769
TG Southee,45,1710,1182,8.680203045685278
PWH de Silva,45,1081,774,8.37984496124031
A Kumble,45,1058,965,6.578238341968912
M Pathirana,45,1003,690,8.721739130434782
M Jansen,45,1626,1011,9.649851632047477
S Aravind,45,1039,760,8.202631578947368
VR Aaron,44,1458,988,8.854251012145749
MP Stoinis,44,1506,911,9.918770581778265
VG Arora,43,1348,818,9.887530562347187
YK Pathan,42,1388,1123,7.415850400712378
Mukesh Kumar,42,1424,806,10.600496277915633
L Ngidi,42,869,620,8.40967741935484
AJ Tye,42,970,678,8.584070796460177
Yash Dayal,41,1390,871,9.5752009184845
GJ Maxwell,41,1374,992,8.310483870967742
MC Henriques,40,1275,932,8.208154506437769
R Sharma,40,1082,922,7.0412147505422995
Harshit Rana,40,1002,637,9.437990580847723
S Sreesanth,40,1194,880,8.14090909090909
Iqbal Abdulla,40,1092,908,7.215859030837004
Washington Sundar,39,1508,1150,7.867826086956522
P Awana,39,1029,747,8.265060240963855
MM Ali,39,1016,830,7.344578313253012
