season,matches,champion,total_runs,total_wickets
2008,58,Rajasthan Royals,17937,690
2009,56,Delhi Capitals,16020,683
2010,59,Mumbai Indians,18592,707
2011,72,Chennai Super Kings,21098,810
2012,74,Kolkata Knight Riders,22453,858
2013,74,Mumbai Indians,21977,883
2014,59,Punjab Kings,18605,659
2015,56,Chennai Super Kings,17561,663
2016,60,Sunrisers Hyderabad,18862,666
2017,58,Mumbai Indians,18463,690
2018,60,Chennai Super Kings,19901,722
2019,57,Chennai Super Kings,18603,648
2020,56,Mumbai Indians,17958,621
2021,59,Chennai Super Kings,18304,706
2022,74,Gujarat Titans,24395,912
2023,73,Gujarat Titans,25563,909
2024,71,Kolkata Knight Riders,25971,883
2025,70,Royal Challengers Bengaluru,25664,849
2026,72,Royal Challengers Bengaluru,27115,863
