team,matches_played,wins,win_percentage
Mumbai Indians,287,155,54.00696864111498
Chennai Super Kings,264,148,56.06060606060606
Royal Challengers Bengaluru,280,143,51.07142857142857
Kolkata Knight Riders,271,140,51.66051660516605
Sunrisers Hyderabad,281,131,46.619217081850536
Punjab Kings,271,126,46.494464944649444
Delhi Capitals,272,125,45.955882352941174
Rajasthan Royals,245,123,50.204081632653065
Gujarat Titans,77,47,61.03896103896104
Lucknow Super Giants,70,34,48.57142857142857
Rising Pune Supergiants,30,15,50.0
Gujarat Lions,29,13,44.827586206896555
Pune Warriors,45,12,26.666666666666668
Kochi Tuskers Kerala,14,6,42.857142857142854
