venue,matches,most_wins,first_innings_score
Arun Jaitley Stadium,13,Delhi Capitals,167.0
"Arun Jaitley Stadium, Delhi",29,Delhi Capitals,193.82758620689654
Barabati Stadium,7,Sunrisers Hyderabad,167.71428571428572
"Barsapara Cricket Stadium, Guwahati",8,Rajasthan Royals,168.875
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",27,Lucknow Super Giants,177.37037037037038
Brabourne Stadium,10,Mumbai Indians,180.4
"Brabourne Stadium, Mumbai",17,Delhi Capitals,177.41176470588235
Buffalo Park,3,Mumbai Indians,147.33333333333334
De Beers Diamond Oval,3,Punjab Kings,158.0
Dr DY Patil Sports Academy,17,Mumbai Indians,146.64705882352942
"Dr DY Patil Sports Academy, Mumbai",20,Lucknow Super Giants,170.7
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,13,Sunrisers Hyderabad,157.46153846153845
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",4,Delhi Capitals,208.75
Dubai International Cricket Stadium,43,Chennai Super Kings,162.7674418604651
Eden Gardens,77,Kolkata Knight Riders,160.1818181818182
"Eden Gardens, Kolkata",28,Kolkata Knight Riders,195.85714285714286
Feroz Shah Kotla,59,Delhi Capitals,163.42372881355934
Green Park,4,Gujarat Lions,161.25
Himachal Pradesh Cricket Association Stadium,9,Punjab Kings,175.66666666666666
"Himachal Pradesh Cricket Association Stadium, Dharamsala",9,Royal Challengers Bengaluru,214.44444444444446
Holkar Cricket Stadium,9,Punjab Kings,160.33333333333334
JSCA International Stadium Complex,7,Chennai Super Kings,149.0
Kingsmead,15,Delhi Capitals,152.0
"M Chinnaswamy Stadium, Bengaluru",24,Royal Challengers Bengaluru,190.375
M. Chinnaswamy Stadium,62,Royal Challengers Bengaluru,167.5
M.Chinnaswamy Stadium,14,Royal Challengers Bengaluru,181.92857142857142
MA Chidambaram Stadium,96,Chennai Super Kings,165.9375
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",10,Punjab Kings,163.0
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",7,Punjab Kings,220.28571428571428
Maharashtra Cricket Association Stadium,22,Rising Pune Supergiants,166.4090909090909
"Maharashtra Cricket Association Stadium, Pune",13,Gujarat Titans,171.46153846153845
"Narendra Modi Stadium, Ahmedabad",41,Gujarat Titans,185.8048780487805
Nehru Stadium,5,Kochi Tuskers Kerala,146.8
New Wanderers Stadium,8,Royal Challengers Bengaluru,144.0
Newlands,6,Sunrisers Hyderabad,137.66666666666666
OUTsurance Oval,2,Punjab Kings,135.0
Punjab Cricket Association IS Bindra Stadium,56,Punjab Kings,165.64285714285714
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",5,Punjab Kings,197.8
Rajiv Gandhi International Cricket Stadium,48,Sunrisers Hyderabad,156.6875
Rajiv Gandhi International Stadium,15,Sunrisers Hyderabad,162.6
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",25,Sunrisers Hyderabad,197.12
"Sardar Patel Stadium, Motera",11,Rajasthan Royals,160.63636363636363
Saurashtra Cricket Association Stadium,9,Gujarat Lions,170.66666666666666
Sawai Mansingh Stadium,47,Rajasthan Royals,157.68085106382978
"Sawai Mansingh Stadium, Jaipur",21,Rajasthan Royals,194.52380952380952
Shaheed Veer Narayan Singh International Stadium,6,Delhi Capitals,146.33333333333334
"Shaheed Veer Narayan Singh International Stadium, Raipur",2,Royal Challengers Bengaluru,179.0
Sharjah Cricket Stadium,28,Punjab Kings,159.03571428571428
Sheikh Zayed Stadium,27,Mumbai Indians,158.96296296296296
St George's Park,7,Chennai Super Kings,159.0
Subrata Roy Sahara Stadium,16,Pune Warriors,149.4375
SuperSport Park,12,Rajasthan Royals,154.83333333333334
"Vidarbha Cricket Association Stadium, Jamtha",3,Sunrisers Hyderabad,149.33333333333334
Wankhede Stadium,72,Mumbai Indians,166.08333333333334
"Wankhede Stadium, Mumbai",59,Mumbai Indians,181.91525423728814
"Zayed Cricket Stadium, Abu Dhabi",8,Kolkata Knight Riders,159.0
