date,team1,team2,venue,toss_decision,toss_won_by_team1,team1_form,team2_form,form_difference,h2h_team1_win_rate,team1_venue_win_rate,team2_venue_win_rate,target_team1_win
2008-04-18,Royal Challengers Bengaluru,Kolkata Knight Riders,M. Chinnaswamy Stadium,field,1,0.5,0.5,0.0,0.5,0.5,0.5,0
2008-04-19,Punjab Kings,Chennai Super Kings,Punjab Cricket Association IS Bindra Stadium,bat,0,0.5,0.5,0.0,0.5,0.5,0.5,0
2008-04-19,Delhi Capitals,Rajasthan Royals,Feroz Shah Kotla,bat,0,0.5,0.5,0.0,0.5,0.5,0.5,1
2008-04-20,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,bat,0,1.0,0.5,0.5,0.5,0.5,0.5,1
2008-04-20,Mumbai Indians,Royal Challengers Bengaluru,Wankhede Stadium,bat,1,0.5,0.0,0.5,0.5,0.5,0.5,0
2008-04-21,Rajasthan Royals,Punjab Kings,Sawai Mansingh Stadium,bat,0,0.0,0.0,0.0,0.5,0.5,0.5,1
2008-04-22,Sunrisers Hyderabad,Delhi Capitals,Rajiv Gandhi International Cricket Stadium,bat,1,0.0,1.0,-1.0,0.5,0.5,0.5,0
2008-04-23,Chennai Super Kings,Mumbai Indians,MA Chidambaram Stadium,field,0,1.0,0.0,1.0,0.5,0.5,0.5,1
2008-04-24,Sunrisers Hyderabad,Rajasthan Royals,Rajiv Gandhi International Cricket Stadium,field,0,0.0,0.5,-0.5,0.5,0.0,0.5,0
2008-04-25,Punjab Kings,Mumbai Indians,Punjab Cricket Association IS Bindra Stadium,field,0,0.0,0.0,0.0,0.5,0.0,0.5,1
2008-04-26,Chennai Super Kings,Kolkata Knight Riders,MA Chidambaram Stadium,bat,0,1.0,1.0,0.0,0.5,1.0,0.5,1
2008-04-26,Royal Challengers Bengaluru,Rajasthan Royals,M. Chinnaswamy Stadium,field,0,0.5,0.6666666666666666,-0.16666666666666663,0.5,0.0,0.5,0
2008-04-27,Mumbai Indians,Sunrisers Hyderabad,Dr DY Patil Sports Academy,field,0,0.0,0.0,0.0,0.5,0.5,0.5,0
